WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (6.47184 35.05727)",35.05727,6.47184,311.55,1.69,1.28,2024-02-22,926,2024/02/22 09:26:00+00,71,283.9,24.95
"POINT (-4.39345 43.26397)",43.26397,-4.39345,347.38,1.44,1.19,2024-02-22,1102,2024/02/22 11:02:00+00,94,289.35,97.57
"POINT (-4.39978 43.25869)",43.25869,-4.39978,339.94,1.44,1.19,2024-02-22,1102,2024/02/22 11:02:00+00,90,290.41,73.55
"POINT (-4.38249 43.25538)",43.25538,-4.38249,326.32,1.44,1.19,2024-02-22,1102,2024/02/22 11:02:00+00,79,288.97,41.27
"POINT (29.29709 38.94516)",38.94516,29.29709,303.04,1.09,1.04,2024-02-22,1129,2024/02/22 11:29:00+00,51,288.41,5.13
"POINT (29.41535 37.34459)",37.34459,29.41535,306.61,1.12,1.06,2024-02-22,1129,2024/02/22 11:29:00+00,35,294.67,6.64
"POINT (30.29462 38.79914)",38.79914,30.29462,307.04,1.03,1.01,2024-02-22,1129,2024/02/22 11:29:00+00,65,289.57,6.76
"POINT (30.51765 38.9274)",38.9274,30.51765,305.28,1.02,1.01,2024-02-22,1129,2024/02/22 11:29:00+00,22,293.46,5.35
"POINT (29.30933 38.94719)",38.94719,29.30933,303.65,1.09,1.04,2024-02-22,1129,2024/02/22 11:29:00+00,57,288.34,5.3
"POINT (34.25407 40.48971)",40.48971,34.25407,305.98,1.17,1.07,2024-02-22,1129,2024/02/22 11:29:00+00,63,285.72,7.57
"POINT (28.09344 40.12761)",40.12761,28.09344,314.63,1.16,1.07,2024-02-22,1129,2024/02/22 11:29:00+00,75,290.54,15.51
"POINT (25.54644 41.88507)",41.88507,25.54644,305.73,1.4,1.17,2024-02-22,1129,2024/02/22 11:29:00+00,62,292.16,8.86
"POINT (26.37772 42.44829)",42.44829,26.37772,311.58,1.25,1.11,2024-02-22,1129,2024/02/22 11:29:00+00,71,292.72,12.44
"POINT (26.36303 42.44561)",42.44561,26.36303,319.92,1.25,1.11,2024-02-22,1129,2024/02/22 11:29:00+00,80,293.3,22.21
"POINT (24.36493 42.09765)",42.09765,24.36493,300.28,1.6,1.24,2024-02-22,1129,2024/02/22 11:29:00+00,33,289.76,6.45
"POINT (21.72087 41.57105)",41.57105,21.72087,302.94,2.32,1.47,2024-02-22,1129,2024/02/22 11:29:00+00,54,290.01,16.69
"POINT (24.94467 42.28209)",42.28209,24.94467,303.16,1.47,1.2,2024-02-22,1129,2024/02/22 11:29:00+00,55,291.8,6.25
"POINT (27.67927 43.24706)",43.24706,27.67927,301.64,1.09,1.04,2024-02-22,1129,2024/02/22 11:29:00+00,48,290.31,4.03
"POINT (27.80381 43.5671)",43.5671,27.80381,309.49,1.07,1.03,2024-02-22,1129,2024/02/22 11:29:00+00,49,289.64,9.12
"POINT (27.7909 43.56496)",43.56496,27.7909,325.74,1.07,1.03,2024-02-22,1129,2024/02/22 11:29:00+00,79,292.23,25.61
"POINT (26.91061 44.03005)",44.03005,26.91061,311.69,1.13,1.06,2024-02-22,1129,2024/02/22 11:29:00+00,72,290.68,11.75
"POINT (26.89711 44.02771)",44.02771,26.89711,303.1,1.13,1.06,2024-02-22,1129,2024/02/22 11:29:00+00,55,290.78,5.23
"POINT (27.41939 44.15525)",44.15525,27.41939,307.27,1.08,1.04,2024-02-22,1129,2024/02/22 11:29:00+00,65,294.94,6.18
"POINT (27.62436 44.60873)",44.60873,27.62436,302.26,1.06,1.03,2024-02-22,1129,2024/02/22 11:29:00+00,51,291.93,4.27
"POINT (27.61141 44.60658)",44.60658,27.61141,305.46,1.06,1.03,2024-02-22,1129,2024/02/22 11:29:00+00,61,291.4,6.34
"POINT (25.92774 44.679)",44.679,25.92774,309.53,1.2,1.09,2024-02-22,1132,2024/02/22 11:32:00+00,69,274.79,13.97
"POINT (28.48091 45.22016)",45.22016,28.48091,306.89,1.01,1.01,2024-02-22,1132,2024/02/22 11:32:00+00,56,289.77,6.41
"POINT (29.40561 45.46198)",45.46198,29.40561,306.16,1,1,2024-02-22,1132,2024/02/22 11:32:00+00,59,290.66,5.58
"POINT (26.0847 44.60307)",44.60307,26.0847,302.92,1.18,1.08,2024-02-22,1132,2024/02/22 11:32:00+00,54,285.14,7.12
"POINT (22.68706 44.41599)",44.41599,22.68706,304.39,1.72,1.29,2024-02-22,1132,2024/02/22 11:32:00+00,59,290.27,11.03
"POINT (29.18018 45.95773)",45.95773,29.18018,301.85,1,1,2024-02-22,1132,2024/02/22 11:32:00+00,49,290.18,3.27
"POINT (27.33183 45.6797)",45.6797,27.33183,307.7,1.05,1.02,2024-02-22,1132,2024/02/22 11:32:00+00,66,289.81,8.36
"POINT (27.31873 45.67754)",45.67754,27.31873,300.71,1.05,1.02,2024-02-22,1132,2024/02/22 11:32:00+00,41,288.92,3.9
"POINT (29.3073 46.04091)",46.04091,29.3073,305.74,1,1,2024-02-22,1132,2024/02/22 11:32:00+00,62,290.95,5.77
"POINT (29.61511 46.65882)",46.65882,29.61511,302.03,1.01,1,2024-02-22,1132,2024/02/22 11:32:00+00,50,288.99,4.81
"POINT (33.43823 47.18526)",47.18526,33.43823,326.48,1.29,1.13,2024-02-22,1132,2024/02/22 11:32:00+00,64,281.66,34.96
"POINT (29.11049 46.65109)",46.65109,29.11049,306.08,1,1,2024-02-22,1132,2024/02/22 11:32:00+00,63,288.54,6.91
"POINT (33.42899 47.19463)",47.19463,33.42899,312.17,1.29,1.13,2024-02-22,1132,2024/02/22 11:32:00+00,0,280.08,16.16
"POINT (30.85757 47.13043)",47.13043,30.85757,300.14,1.06,1.03,2024-02-22,1132,2024/02/22 11:32:00+00,29,287.39,3.83
"POINT (30.28232 47.09249)",47.09249,30.28232,301.58,1.03,1.01,2024-02-22,1132,2024/02/22 11:32:00+00,48,289.45,4.33
"POINT (30.63275 47.44235)",47.44235,30.63275,301.8,1.05,1.02,2024-02-22,1132,2024/02/22 11:32:00+00,49,288.57,4.45
"POINT (28.56697 47.17578)",47.17578,28.56697,305.31,1,1,2024-02-22,1132,2024/02/22 11:32:00+00,61,287.3,7.08
"POINT (23.55451 46.57116)",46.57116,23.55451,310.69,1.38,1.16,2024-02-22,1132,2024/02/22 11:32:00+00,70,283.43,19.29
"POINT (30.41198 47.91185)",47.91185,30.41198,309.33,1.05,1.02,2024-02-22,1132,2024/02/22 11:32:00+00,68,284.94,10.46
"POINT (8.56632 35.34372)",35.34372,8.56632,314.02,1.01,1,2024-02-22,1308,2024/02/22 13:08:00+00,71,297.51,8.74
"POINT (6.46244 35.05626)",35.05626,6.46244,307.71,1.05,1.02,2024-02-22,1308,2024/02/22 13:08:00+00,60,290.21,7.37
"POINT (6.25434 36.74774)",36.74774,6.25434,317.98,1.03,1.01,2024-02-22,1308,2024/02/22 13:08:00+00,78,287.4,14.97
"POINT (6.70386 51.36772)",51.36772,6.70386,303.27,1.13,1.06,2024-02-22,2031,2024/02/22 20:31:00+00,54,278.36,12.06
"POINT (34.89722 48.20533)",48.20533,34.89722,301.49,1.17,1.08,2024-02-23,824,2024/02/23 08:24:00+00,47,274.74,10.11
"POINT (34.89342 48.19602)",48.19602,34.89342,304.03,1.17,1.08,2024-02-23,824,2024/02/23 08:24:00+00,58,274.36,12.21
"POINT (34.16612 47.68188)",47.68188,34.16612,305.04,1.13,1.06,2024-02-23,824,2024/02/23 08:24:00+00,36,278.63,10.05
"POINT (34.14417 47.67991)",47.67991,34.14417,302.36,1.13,1.06,2024-02-23,824,2024/02/23 08:24:00+00,16,277.75,7.63
"POINT (33.6041 45.29825)",45.29825,33.6041,312.09,1.17,1.08,2024-02-23,824,2024/02/23 08:24:00+00,55,278.33,17.02
"POINT (33.65993 45.23849)",45.23849,33.65993,301.81,1.18,1.08,2024-02-23,824,2024/02/23 08:24:00+00,43,279.56,9.06
"POINT (33.76205 44.96891)",44.96891,33.76205,348.7,1.2,1.09,2024-02-23,824,2024/02/23 08:24:00+00,72,281.25,80.63
"POINT (31.61886 38.52627)",38.52627,31.61886,303.94,1.25,1.11,2024-02-23,826,2024/02/23 08:26:00+00,57,289.51,6.66
"POINT (28.21668 45.32931)",45.32931,28.21668,304.9,1.05,1.02,2024-02-23,826,2024/02/23 08:26:00+00,60,288.53,6.5
"POINT (27.33801 44.10597)",44.10597,27.33801,300.38,1.08,1.04,2024-02-23,826,2024/02/23 08:26:00+00,32,288.76,4.25
"POINT (31.60512 38.52872)",38.52872,31.60512,301.1,1.24,1.11,2024-02-23,826,2024/02/23 08:26:00+00,44,289.45,4.55
"POINT (31.84295 37.46964)",37.46964,31.84295,300.2,1.33,1.14,2024-02-23,826,2024/02/23 08:26:00+00,30,289.12,5.73
"POINT (30.23501 37.08036)",37.08036,30.23501,301.47,1.14,1.07,2024-02-23,828,2024/02/23 08:28:00+00,47,286.39,5.77
"POINT (10.39859 52.14931)",52.14931,10.39859,304.2,1.05,1.02,2024-02-23,1002,2024/02/23 10:02:00+00,52,281.37,8.42
"POINT (10.78807 52.43177)",52.43177,10.78807,310.59,1.07,1.03,2024-02-23,1002,2024/02/23 10:02:00+00,66,281.16,14.01
"POINT (10.40245 52.15818)",52.15818,10.40245,303,1.05,1.02,2024-02-23,1002,2024/02/23 10:02:00+00,50,281.9,7.8
"POINT (4.88217 43.44616)",43.44616,4.88217,308.88,1,1,2024-02-23,1004,2024/02/23 10:04:00+00,0,287.09,10.03
"POINT (33.85816 46.42917)",46.42917,33.85816,302.28,2.22,1.44,2024-02-23,1034,2024/02/23 10:34:00+00,46,281.43,18.16
"POINT (33.83103 46.42265)",46.42265,33.83103,305.53,2.23,1.45,2024-02-23,1034,2024/02/23 10:34:00+00,62,284.12,24.27
"POINT (33.83489 46.4241)",46.4241,33.83489,307.36,2.23,1.45,2024-02-23,1034,2024/02/23 10:34:00+00,65,284.18,28.43
"POINT (24.85204 42.35354)",42.35354,24.85204,304.2,1.35,1.15,2024-02-23,1212,2024/02/23 12:12:00+00,49,292.28,4.9
"POINT (24.17054 42.71592)",42.71592,24.17054,305.87,1.27,1.12,2024-02-23,1212,2024/02/23 12:12:00+00,62,291.64,7.77
"POINT (22.62087 42.81173)",42.81173,22.62087,301.32,1.11,1.05,2024-02-23,1212,2024/02/23 12:12:00+00,19,283.14,5.87
"POINT (24.2347 43.06839)",43.06839,24.2347,314.11,1.29,1.13,2024-02-23,1212,2024/02/23 12:12:00+00,74,289.99,16.59
"POINT (24.2193 43.06674)",43.06674,24.2193,307.66,1.29,1.13,2024-02-23,1212,2024/02/23 12:12:00+00,66,290.61,9.73
"POINT (24.27259 43.12358)",43.12358,24.27259,302.62,1.3,1.13,2024-02-23,1212,2024/02/23 12:12:00+00,34,289.47,4.71
"POINT (24.26339 43.13291)",43.13291,24.26339,304.24,1.3,1.13,2024-02-23,1212,2024/02/23 12:12:00+00,53,289.82,6.09
"POINT (23.53751 43.44042)",43.44042,23.53751,312.21,1.22,1.1,2024-02-23,1212,2024/02/23 12:12:00+00,65,292.1,12.38
"POINT (23.85811 43.57653)",43.57653,23.85811,306.48,1.26,1.11,2024-02-23,1212,2024/02/23 12:12:00+00,45,288.25,8.67
"POINT (26.65764 44.11812)",44.11812,26.65764,303.17,1.78,1.31,2024-02-23,1212,2024/02/23 12:12:00+00,51,290.16,8.22
"POINT (25.8536 44.60537)",44.60537,25.8536,304.18,1.63,1.26,2024-02-23,1212,2024/02/23 12:12:00+00,55,288.24,9.42
"POINT (29.1903 45.94432)",45.94432,29.1903,323.23,2.6,1.55,2024-02-23,1212,2024/02/23 12:12:00+00,82,291,78.98
"POINT (29.15684 45.94241)",45.94241,29.15684,309,2.58,1.54,2024-02-23,1212,2024/02/23 12:12:00+00,68,290.64,29.31
"POINT (21.07021 42.01984)",42.01984,21.07021,307.91,1.01,1.01,2024-02-23,1212,2024/02/23 12:12:00+00,58,279.94,9.88
"POINT (22.74243 40.65747)",40.65747,22.74243,306.14,1.07,1.03,2024-02-23,1212,2024/02/23 12:12:00+00,63,290.75,3.67
"POINT (26.36715 41.24127)",41.24127,26.36715,307.79,1.57,1.23,2024-02-23,1212,2024/02/23 12:12:00+00,65,290.35,12.21
"POINT (26.36164 41.24175)",41.24175,26.36164,313.72,1.57,1.23,2024-02-23,1212,2024/02/23 12:12:00+00,63,290.21,20.02
"POINT (23.35093 41.45009)",41.45009,23.35093,335.96,1.14,1.06,2024-02-23,1212,2024/02/23 12:12:00+00,90,292.58,42.27
"POINT (22.50499 41.8966)",41.8966,22.50499,304.06,1.08,1.04,2024-02-23,1212,2024/02/23 12:12:00+00,33,289.59,3.8
"POINT (25.70757 42.28052)",42.28052,25.70757,308.94,1.49,1.21,2024-02-23,1212,2024/02/23 12:12:00+00,61,297.07,7.8
"POINT (25.70151 42.28311)",42.28311,25.70151,310.5,1.49,1.21,2024-02-23,1212,2024/02/23 12:12:00+00,69,297.31,10.17
"POINT (10.407 52.15277)",52.15277,10.407,304.43,1.35,1.15,2024-02-23,1214,2024/02/23 12:14:00+00,44,282.19,12.67
"POINT (-1.12236 38.01389)",38.01389,-1.12236,319.79,1.07,1.03,2024-02-23,1348,2024/02/23 13:48:00+00,79,296.96,15.01
"POINT (-1.13437 38.01234)",38.01234,-1.13437,321.79,1.07,1.03,2024-02-23,1348,2024/02/23 13:48:00+00,81,298.71,17.04

No definition found.
Search the web for "44.07848,16.62132,306.53,1.4,1.17,2024" »
